replay_id,rank_tier,team_color,won,avg_boost,time_zero_boost,time_offensive_third,time_defensive_third,demos_inflicted,demos_taken,shots,goals,shooting_pct
3073ec47-d6fe-4e53-ae04-900260bb8758,gold-1,blue,0,133.43,44.25,86.71,202.42,1,0,2,0,0.0
3073ec47-d6fe-4e53-ae04-900260bb8758,gold-1,orange,1,140.18,57.260002,107.63,196.49,0,1,4,4,100.0
a6f42ba3-db4a-40b3-9e93-f2f53fed78b8,gold-1,blue,0,156.11,142.11,199.45999,559.07996,2,0,7,2,28.571428
a6f42ba3-db4a-40b3-9e93-f2f53fed78b8,gold-1,orange,1,149.07,85.21001,196.94,537.53,0,2,7,3,42.857143
21512286-e7a5-402e-9558-44bc7bc70ad7,gold-1,blue,1,109.509995,170.1,187.18,580.2,1,3,6,4,66.666664
21512286-e7a5-402e-9558-44bc7bc70ad7,gold-1,orange,0,135.53,107.42,252.5,520.4,3,1,8,1,12.5
6369def8-524c-4a7d-a79f-244dd935c054,gold-1,blue,1,136.87,154.55,201.91,631.25,1,4,7,5,71.42857
6369def8-524c-4a7d-a79f-244dd935c054,gold-1,orange,0,143.23,95.149994,239.26999,543.92,4,1,8,3,37.5
4bd0a238-2153-4c2c-869f-ca52dce74040,gold-1,blue,1,158.7,83.36,257.77002,488.56,0,0,6,4,66.666664
4bd0a238-2153-4c2c-869f-ca52dce74040,gold-1,orange,0,123.81,130.59,163.93,569.76,0,0,1,0,0.0
e47dc8a8-882d-4f03-ade3-988ea18d1f74,gold-1,blue,1,139.06,102.020004,278.09,532.33,1,0,9,6,66.666664
e47dc8a8-882d-4f03-ade3-988ea18d1f74,gold-1,orange,0,143.34,207.29999,173.72,642.41003,0,1,4,4,100.0
eed3ac7c-dc2c-40e9-94bd-162050dce6ce,gold-1,blue,1,149.31,115.189995,391.97998,419.28998,1,0,10,3,30.0
eed3ac7c-dc2c-40e9-94bd-162050dce6ce,gold-1,orange,0,123.37999,291.66998,122.39,736.94006,0,1,4,2,50.0
b3bf8db1-cf7f-46fe-a23d-9a0df9d6d4ee,gold-1,blue,0,157.66,87.9,258.87,423.16998,1,0,3,0,0.0
b3bf8db1-cf7f-46fe-a23d-9a0df9d6d4ee,gold-1,orange,1,174.59,34.260002,189.38,436.32,0,1,3,1,33.333332
add80736-2ffa-440f-9aa1-2bf2ff68f295,gold-1,blue,0,142.14,167.73999,235.62999,553.54,2,1,5,2,40.0
add80736-2ffa-440f-9aa1-2bf2ff68f295,gold-1,orange,1,142.2,148.92,269.38,507.47998,1,2,5,4,80.0
6a3e35f6-c456-4f85-b0fc-5fd9fea281fe,gold-1,blue,0,146.85,136.98,352.93002,499.38998,0,2,8,2,25.0
6a3e35f6-c456-4f85-b0fc-5fd9fea281fe,gold-1,orange,1,147.19,116.950005,231.34001,776.91,2,0,5,3,60.0
7fe20973-ae42-41e8-9172-76af3c3d236a,gold-1,blue,1,130.79001,187.08,238.65,565.23004,0,2,8,7,87.5
7fe20973-ae42-41e8-9172-76af3c3d236a,gold-1,orange,0,155.53,119.100006,217.94,641.83,2,0,8,4,50.0
db448d10-793a-4a33-aaea-6a44160691d8,gold-1,blue,0,165.73001,16.93,17.53,84.22,1,0,1,0,0.0
db448d10-793a-4a33-aaea-6a44160691d8,gold-1,orange,1,125.7,36.72,70.26,146.06,0,1,3,3,100.0
ee0d7d48-1a9f-4329-ab61-868e78fe6bf7,gold-1,blue,0,164.22,44.199997,98.66,509.81,0,0,1,1,100.0
ee0d7d48-1a9f-4329-ab61-868e78fe6bf7,gold-1,orange,1,145.9,78.39,249.73999,321.2,0,0,7,4,57.142857
430d358e-2ad9-4c1a-b435-a61ff6404307,gold-1,blue,0,106.189995,195.64,145.44,552.5,0,4,2,1,50.0
430d358e-2ad9-4c1a-b435-a61ff6404307,gold-1,orange,1,154.43001,122.2,245.56,426.36,4,0,6,5,83.333336
07512dc8-4c67-4a33-91db-40804aa3470c,gold-1,blue,1,145.44,22.900002,85.229996,156.55,0,1,6,4,66.666664
07512dc8-4c67-4a33-91db-40804aa3470c,gold-1,orange,0,145.0,30.880001,30.11,214.92,1,0,1,0,0.0
dcdd69c4-c4d7-4993-88a7-c7115ced9822,gold-1,blue,1,129.02,197.01001,275.86,586.75,3,2,11,8,72.72727
dcdd69c4-c4d7-4993-88a7-c7115ced9822,gold-1,orange,0,147.6,168.97,150.15,759.16003,2,3,7,3,42.857143
39d0d2da-e375-4a1c-973d-22da7dd1b2bb,gold-1,blue,0,141.08,99.21,72.46001,588.15,3,0,1,0,0.0
